一个陌生女人的来信,"
        
  
  [奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元

      ",8.7
穆斯林的葬礼,"
        
  
  霍达 / 北京十月文艺出版社 / 1988-12-1 / 32.00

      ",8.2
毛姆短篇小说精选集,"
        
  
  [英] 威廉·萨默塞特·毛姆 / 冯亦代、傅惟慈、陆谷孙、冯涛、翁如琏、李燕乔、黄昱宁、汤伟、屠珍、郑庆芝、贺广贤、王升印、恺蒂 / 译林出版社 / 2012-11 / 36.00元

      ",9.1
看不见的城市,"
        
  
  [意大利]伊塔洛·卡尔维诺 / 张宓 / 译林出版社 / 2006-8 / 16.00元

      ",8.8
面纱,"
        
  
  [英] W.萨默塞特·毛姆 / 阮景林 / 重庆出版社 / 2012-5 / 32.00元

      ",8.7
偷影子的人,"
        
  
  (法)马克·李维 / 段韵灵 / 湖南文艺出版社 / 2012-6-20 / 29.80元

      ",7.8
棋王,"
        
  
  阿城 / 作家出版社 / 1999-10 / 13.00

      ",8.7
了不起的盖茨比,"
        
  
  菲茨杰拉德 / 姚乃强 / 人民文学出版社 / 2004-06 / 12.00元

      ",8.3
世界尽头与冷酷仙境,"
        
  
  [日] 村上春树 / 林少华 / 上海译文出版社 / 2002-12 / 23.00元

      ",8.6
钓鱼的男孩,"
        
  
  [尼日利亚] 奇戈希·奥比奥玛 / 吴晓真 / 湖南文艺出版社 / 2016-9 / 36.00元

      ",8.3
爱情和其他魔鬼,"
        
  
  [哥伦比亚] 加西亚·马尔克斯 / 陶玉平 / 南海出版公司 / 2016-1 / 35.00

      ",8.6
鳄鱼街,"
        
  
  [波] 布鲁诺·舒尔茨 / 杨向荣 / 新星出版社 / 2010-1 / 28.00元

      ",8.5
摩尔人的最后叹息:2017年5月第1版,"
        
  
  [英] 萨曼·鲁西迪 / 陆大鹏 / 北京燕山出版社 / 2017-5-1 / 56.00元

      ",7.8
三国演义（全二册）,"
        
  
  [明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元

      ",9.2
有匪1:少年游,"
        
  
  priest / 湖南文艺出版社 / 2016-11 / 35.00元

      ",8.9
